"TT1" "TT2" "TT3" "TT25" "TT26" "TT27"
"ENSG00000198746" 36 70 93 42 41 33
"ENSG00000158006" 420 632 657 399 366 387
"ENSG00000188529" 2585 3967 4297 1574 1892 1672
"ENSG00000214812" 0 0 0 0 0 0
"ENSG00000142784" 259 234 292 125 170 161
"ENSG00000230023" 0 0 0 0 0 0
"ENSG00000227950" 2 0 0 0 0 0
"ENSG00000117682" 305 522 545 254 266 257
"ENSG00000175793" 1842 3860 4042 1120 1257 892
"ENSG00000126698" 1014 2335 2688 1016 1287 993
"ENSG00000229447" 3 5 4 2 4 2
"ENSG00000229607" 0 0 0 0 0 0
"ENSG00000229994" 33 28 45 18 31 13
"ENSG00000130766" 174 235 246 168 187 172
"ENSG00000168528" 142 244 277 135 193 160
"ENSG00000196581" 0 0 0 0 0 0
"ENSG00000169403" 1 7 6 2 4 0
"ENSG00000117676" 706 860 1111 369 360 349
"ENSG00000198830" 4280 4527 5373 1718 2212 2090
"ENSG00000225126" 0 0 0 0 0 0
"ENSG00000084628" 52 33 73 12 13 16
"ENSG00000060688" 1327 2223 2316 877 1036 885
"ENSG00000236335" 0 0 0 0 0 0
"ENSG00000171612" 392 657 719 287 305 246
"ENSG00000241169" 0 2 0 0 0 0
"ENSG00000278572" 0 0 0 0 0 0
"ENSG00000227001" 1 0 0 0 0 2
"ENSG00000270927" 0 0 0 0 0 0
"ENSG00000226698" 0 0 0 0 0 0
"ENSG00000284744" 0 0 0 0 0 0
"ENSG00000162458" 514 639 711 484 519 459
"ENSG00000188910" 1 12 17 0 1 0
"ENSG00000230523" 0 0 0 0 0 0
"ENSG00000186056" 16 16 15 8 25 12
"ENSG00000116138" 731 512 716 356 370 422
"ENSG00000231207" 0 0 0 0 0 0
"ENSG00000142765" 16 21 18 42 28 40
"ENSG00000158161" 728 786 851 349 363 321
"ENSG00000270330" 0 0 0 0 0 0
"ENSG00000142684" 0 0 0 0 0 0
"ENSG00000060642" 333 549 601 408 481 420
"ENSG00000224064" 0 0 0 0 0 0
"ENSG00000234619" 0 0 1 0 0 1
"ENSG00000121769" 22 9 8 3 3 11
"ENSG00000236963" 0 0 3 0 2 0
"ENSG00000232557" 0 0 0 0 0 0
"ENSG00000157330" 0 0 0 0 0 0
"ENSG00000162413" 567 771 752 381 395 398
"ENSG00000142627" 2441 3800 4074 1376 1438 1148
"ENSG00000284668" 0 0 0 0 0 0
"ENSG00000233234" 0 0 0 0 0 0
"ENSG00000142632" 73 118 129 44 51 56
"ENSG00000234593" 0 1 0 0 0 2
"ENSG00000162490" 0 0 0 1 0 0
"ENSG00000158292" 54 109 100 45 66 56
